"title","author","description","url","article_text","date_published","date_modified","source"
"Podcast | Stock picks of the day: Market likely to take cues from FOMC outcome","Moneycontrol Contributor","","https://www.moneycontrol.com/news/business/markets/podcast-stock-picks-of-the-day-market-likely-to-take-cues-from-fomc-outcome-4450991.html","","2019-09-19T08:04:20+05:30","2019-09-19T08:04:20+05:30",""
"Leela Director Madhu Nair resigns from board","","","https://www.moneycontrol.com/news/business/companies/leela-director-madhu-nair-resignsboard-1005120.html","Madhu Nair, wife of co-chairman and Managing Director Dinesh Nair, has quit Hotel Leelaventure from her post of non-executive director.The Mumbai-based company did not specify the reasons behind her exit, which comes just three days after the Airports Authority of India served an eviction notice to Leela Mumbai to vacate its land, the oldest property in its portfolio.“Madhu Nair, 55, Director, has tendered her resignation from the Board and the Board of Directors has accepted her resignation with immediate effect,” stated Hotel Leelaventure in a disclosure.The latest exit makes it the fifth in a row for the company in less than one year. Three independent directors and an executive director have quit the Leela board since February last year.These include Dr KU Mada, Madhavan Nambiar, Anil Harish, all of whom, were independent directors and Krishna Deshika, Director, Finance. Deshika, however, continues to be the Chief Financial Officer of the company.Nair’s exit also leaves just two representatives of the promoter Nair family on the board of Hotel Leela – Vivek Nair (Chairman and Managing Director) and Dinesh Nair – sons of the late Chairman CP Krishnan Nair.As per disclosures made to the Bombay Stock Exchange, by quarter ending December the promoter group held nearly 64 percent equity stake in the company, including shares held by family members like Amruda Nair, PV Leela Amma Nair, Madhu Nair, Vivek Nair, Dinesh Nair and Lakshmi Nair.Privately held shares by the family members made up 0.27 percent of the total equity while a further 63.62 percent were held by promoter group companies.Amruda Nair, daughter of Vivek Nair, who was in charge of the corporate asset management at Leela, decided to go solo and opened her own hospitality company based in the Middle East. Samyukta, Dinesh’s daughter who was also involved in the interior designs of Leela hotels, started her own sleepwear brand. Aishwarya Nair, Vivek’s second daughter, who was in charge of corporate food and beverage, on the other hand, got married last year.The beleaguered Hotel Leela Venture earlier said it hopes to monetise its 3.85 acre land in Hyderabad’s Banjara Hills in the current financial year after efforts to build a luxury hotel could not materialise.The land sale could fetch the loss-making company around Rs 150 crore enabling it to bring down its debt burden which as of last financial year is estimated to have stood at Rs 4,500 crore.Hotel Leela has a total of nine operating properties with a combined inventory of 2,688 rooms. Weighed down by the debt-pile the company has been struggling to grow for the past many years. It has been selling core and non-core assets which included two of its prime properties in Kovalam (Kerala) and Goa in 2011 and 2015, respectively.","2017-02-13T11:21:52+05:30","2017-02-13T13:52:44+05:30",""
"Thangamayil Standalone March 2023 Net Sales at Rs 769.73 crore, up 26.45% Y-o-Y","","","https://www.moneycontrol.com/news/business/earnings/thangamayil-standalone-march-2023-net-sales-at-rs-769-73-crore-up-26-45-y-o-y-10637651.html","","2023-05-22T14:55:02+05:30","2023-05-22T15:00:09+05:30",""
"Max Life Insurance turns to technology to auto-fill policy forms","M Saraswathy","","https://www.moneycontrol.com/news/business/economy/max-life-insurance-turns-to-technology-to-auto-fill-policy-forms-3205961.html","Imagine if you could just present an identification card and a bot could auto-populate an insurance proposal form for you. No back and forth over a physical form being filled or incorrect details being filled into the proposal form. Max Life Insurance is planning a pilot project wherein technology would be able to read details from documents like PAN card so that the issuance time is reduced to 12 minutes from around 30-35 minutes now. A pilot will begin in the next month with agents wherein technology will enable almost two-thirds of the form to be automatically filled when documents are scanned. Manik Nangia, Director Marketing and Chief Digital Officer, Max Life Insurance said the idea is to fill the form in the presence of the customer and in the shortest time possible using technology. When it comes to medical underwriting, there will be a system to send interactive SMSes to the policyholder so that they can fill it correctly. When a policy document is sent to an insured, the first step will be to scan the relevant document to auto-populate the data. Post this, for medical questions like smoking and family history of diseases, interactive SMSes will be sent to the policyholder. They can reply in ‘yes’ or ‘no’ and this will be filled in the policy form. Even after the policy document is filled, SMSes are sent to customers to ascertain if they have understood the features of the product and the premium paying term. In the second phase, Nangia said the plan is to have a system wherein models like Google Assistant could be used to fill the form completely. This would be a text-to-speech model wherein the home assistant device would read out the details to be filled and the policyholder would respond to the questions asked. “We are in talks with Google to have the system in the process. This will enable that customers can answer in multiple languages too and the process is less cumbersome,” he added. With this, Nangia said the quality of disclosures would also increase leading to lesser frauds at the time of claims settlement. At present, there is a high incidence of insurance agents filling up proposal form on the behalf of the insured. This leads to discrepancies, especially in the medical disclosures. For instance, if a smoker is presented as a non-smoker in the proposal form, the insured or their family can face problems during claims settlement. Max Life Insurance’s Value of New Business (VNB) increased by 42 percent year-on-year (YoY) to Rs 290 crore in H1FY19 due to a significant growth in new business as well as a higher share of protection products. New business grew by 21 percent YoY to Rs 1,909 crore in H1FY19. About 30 percent policies sold during H1FY19 were pure protection policies, with a YoY growth of 56 percent. Here, e-commerce channel contributed to 13 percent of total policies sold in H1FY19.","2018-11-21T18:04:43+05:30","2018-11-21T20:32:55+05:30",""
"What changed for the market while you were sleeping? 15 things you should know","","","https://www.moneycontrol.com/news/business/markets/what-changed-for-the-market-while-you-were-sleeping-15-things-you-should-know-2-2343813.html","The Nifty50 is likely to open flat on Thursday tracking muted handover from Wall Street. The Nifty50 closed 33 points lower at 10,081 on Wednesday. The Nifty50 hit a record high but then quickly sold off in the last one hour of trade soon after the monetary policy committee (MPC) decided to slash key rate by 25 bps. The index formed a ‘Bearish Belt Hold’ kind of pattern on the daily candlestick charts. Traders are advised to stay long and initiate buy on dips strategy towards any fall towards 10,000 levels. Although, Bearish Belt Hold is a trend reversal pattern but doesn't go short in this market because it still requires confirmation. The index now has to respect to its rising support trend line by connecting the recent swing lows of 9543, 9646, 9838 and 9944 so the major trend is still intact even after a small decline from higher levels. As long as Nifty trades above 10,000 levels, the upside remains intact and investors can initiate long positions for the next possible target placed at 10,350 and keep a stop loss 9,944. Asian markets are trading lower as investors booked the recent gains after Dow Jones Industrial Average has broke the 22,000 barrier. Nikkei was down 0.40 percent and Kospi declined over 2 percent. Stay tuned with Moneycontrol to find out what happens in currency and equity markets today. We have collated a list of important headlines from across news agencies: The Dow climbed above the 22,000 mark for the first time, buoyed by Apple's healthy quarterly iPhone sales. Apple jumped 4.73 percent to a record high after the world's largest publicly listed company reported strong results. It is up 36 percent this year, said a Reuters report. Two-thirds of S&P 500 companies have reported their second-quarter earnings so far and 72 percent of them have beaten Wall Street's expectations, according to Thomson Reuters I/B/E/S. The Dow Jones Industrial Average rose 0.24 percent to end at 22,016.24, a record high. The S&P 500 gained 0.05 percent to 2,477.57 and the Nasdaq Composite was flat at 6,362.65. The Nifty50 futures on the Singapore Stock Exchange were trading 28.50 points lower at 10,059 indicating a lower opening for the domestic market. Finance minister Arun Jaitley said that there is scope to rationalise goods and services tax (GST) and rolling 12 percent and 18 percent slabs into one as the implementation of the country’s most comprehensive indirect tax reforms progresses, said an ET report. The current GST has 5 per cent, 12 percent, 18 percent and 28 percent rates, plus one for luxury and sin goods. There are some that are zero rated or nil rate. The government has taken further steps to gradually reduce subsidy on kerosene, continuing the series of market-oriented reforms that have galvanised the petroleum sector and attracted big-ticket investment after an era of excessive controls, said an ET report. In a recent communication, it has asked state oil companies to keep raising prices of subsidised kerosene by 25 paise every fortnight until the subsidy is eliminated, or until further orders, sources said. The oil ministry had earlier ordered a similar increase only up to July this year. The National Company Law Tribunal (NCLT) is expected to take a call on whether to admit Reliance Communications’ merger proposal with Aircel on Thursday even as the telecom department suggested that the proposed partners should first get clearance from the Supreme Court, said an ET report. An NCLT bench of judges BSV Prakash Kumar and V Nallasenapathy will continue to hear the admission plea when it is expected to take a final call. The government has approved three foreign direct investment proposals in food retail, including that of e-commerce major Amazon, commerce and industry minister Nirmala Sitharaman told Parliament on Wednesday, said an ET report. In a written reply to Rajya Sabha the minister informed that FDI proposals of Amazon Retail and online grocery service providers Grofers and Supermarket Groceries Supplies have been approved by the department of industrial policy and promotion (DIPP), it said. China said it has conveyed its firm stand to India that it must take ""concrete actions"" by immediately pulling back troops from Doklam in the Sikkim section with ""no strings attached"" to resolve the current standoff. Securities and Exchange Board of India (SEBI) allowed stock brokers to borrow funds through the issuance of commercial paper and unsecured from directors and promoters in order to provide margin trading facility to their clients, said a PTI report. Currently, a broker can use his own funds or borrow from banks and non-banking financial companies (NBFCs) for this purpose. The move follows after SEBI received representations from brokers and their associations requesting to enable them to utilise funds from sources other than banks and non-banking financial companies for extending margin trading facility, the regulator said in a circular. The initial share sale offer of Cochin Shipyard was oversubscribed 3.16 times on the second day of the three-day bidding today. The IPO received bids for 10,72,21,140 shares against the total issue size of 3,39,84,000 shares, data available with the NSE showed. The initial share sale offer of Security and Intelligence Services (India) Limited (SIS) was oversubscribed 7 times on the last day of bidding on Wednesday. The IPO to raise up to Rs 780 crore received bids for 3,72,20,814 shares against the total issue size of 53,16,187 shares, according to data available with the NSE till 1930 hours. A ban on travel by US passport holders to North Korea will take effect on Sept. 1 and Americans in the country should leave before that date, the US State Department said on Wednesday, said a Reuters report. Journalists and humanitarian workers may apply for exceptions to the ban, the department said in a public notice, it said. US President Donald Trump and two Republican senators unveiled a plan at the White House to half the number of legal immigrants to the United States eventually and favour newcomers who speak English, said a Reuters report. Trump threw his support behind a bill developed by senators Tom Cotton of Arkansas and David Perdue of Georgia that they say would cut legal immigration by 50 per cent over 10 years by reducing the kinds of relatives immigrants can bring into the country, it said. The legislation faces an uphill climb to get through Congress. The US dollar hit its lowest level against the euro in more than 2-1/2 years on doubts about another Federal Reserve interest rate increase this year and expectations for European Central Bank hawkishness, said a Reuters report. The euro hit USD 1.1909, its highest level against the dollar since January 2015. Euro zone economic data has encouraged the view that the ECB is on a path toward tightening its monetary policy, which is considered a favorable scenario for the euro. The dollar index, which measures the greenback against a basket of six major rivals, touched a 15-month low of 92.548 and was last down 0.2 percent at 92.833. Gold rose and was nearing seven-week highs as the dollar fell to a 15-month low and US data showed fewer-than-expected new jobs in July, bringing into question chances of the Federal Reserve raising interest rates in the coming months, said a Reuters report. Gold is highly sensitive to rising rates because they lift bond yields, raising the opportunity cost of holding non-yielding bullion, and tend to boost the dollar, in which gold is priced, it said. Spot gold was up 0.2 percent at USD 1,270.43 an ounce. US gold futures settled down 0.08 percent at USD 1,278.40. As much as 68 companies on the BSE will be declaring their results for the quarter ended June 30 later today which include names like CEAT, Colgate Palmolive, Cummins India, Greaves Cotton, HCC, IOC, JSW Holdings, PNB Housing Finance, The Ramco Cement, Titan Company, Ujjivan, VIP Industries etc. among others. Security in ban period for the next trade date under the F&O segment includes companies in which the security has crossed 95 percent of the market-wide position limit. Securities which are banned for trading today include names like Indiabulls Real Estate, JP Associates, JSW Energy, and Wockhardt.","2017-08-03T07:31:00+05:30","2017-08-03T07:52:09+05:30",""
"Ajmera Realty soars 5.5% after healthy Q2 business updates","Moneycontrol News","Ajmera Realty remains confident of achieving its sales guidance by the second half of FY25, fueled by the upcoming festive season and strong demand.","https://www.moneycontrol.com/news/business/markets/ajmera-realty-soars-5-5-after-healthy-q2-business-updates-12838467.html","Shares of Ajmera Realty and Infra India soared 5.5 percent on October 9 after the company released healthy business updates for the July-September quarter. At 11.04 am, shares of were trading at Rs 668 on the NSE. The company's sales value for the quarter rose 1 percent on year to Rs 254 crore while collections rose 20 percent to Rs 133 crore. Sales contribution came from across the portfolio on the back of the sustaining demand for the existing projects. Ajmera Manhattan and Ajmera Prive, the luxury offerings, gathered a strong response, reflecting a high demand for premium properties. Meanwhile, Ajmera Vihara in Bhandup, launched last quarter, has already sold 49 percent of its units, reflecting success in the first phase within this emerging micro market. ""On the strength of sales from the existing projects with several launches scheduled in the second half of FY25 during the festive season, we are confident in achieving our annual guidance and progressing towards our ambitious growth strategy,"" Dhaval Ajmera, Director, Ajmera Realty and Infra India said in an exchange filing. ""The positive sector outlook, supported by favorable regulations aimed at enhancing transparency and accountability, favors established players like us. Looking ahead, we are highly optimistic about the continued growth of the real estate market,"" Ajmera added. ","2024-10-09T11:12:00+05:30","2024-10-09T11:13:09+05:30",""
"Wall Street flat ahead of holiday; ISPs rise on net neutrality bets","Reuters","","https://www.moneycontrol.com/news/business/markets/wall-street-flat-ahead-of-holiday-isps-rise-on-net-neutrality-bets-2445177.html","U.S. stocks were little changed on Wednesday, with telecom services shares among the biggest movers while the energy sector rose in line with gains in crude oil. Verizon and AT&T rose 2.0 percent and 1.6 percent respectively on bets they will benefit from the U.S. government's plan to rescind net neutrality rules put in place by the Obama administration. These stocks are up ""given the end is in sight for net neutrality as it had been defined in 2015,"" said Kim Forrest, senior equity research analyst at Fort Pitt Capital Group in Pittsburgh. ""They would be allowed to charge the originators of the data to more accurately reflect the speed and the volume of data."" With three Republican and two Democratic commissioners, the Federal Communications Commission is all but certain to approve the change. Hewlett Packard Enterprise Chief Executive Meg Whitman said she would step down in February, sending the company's shares down 7.2 percent to $13.10. HP Inc , which holds the computer and printer business that Whitman carved out of Hewlett Packard, lost 5.0 percent after reporting an unimpressive profit. The Dow Jones Industrial Average fell 64.65 points, or 0.27 percent, to 23,526.18, the S&P 500 lost 1.95 points, or 0.08 percent, to 2,597.08 and the Nasdaq Composite added 4.88 points, or 0.07 percent, to 6,867.36. The S&P 500 energy index rose 0.4 percent as U.S. crude prices jumped 2.1 percent. Many Federal Reserve policymakers expect interest rates to be raised in the ""near term,"" according to the minutes of the U.S. central bank's most recent policy meeting released on Wednesday. Stock investors were not surprised by the minutes and the market barely moved after their release. ""Not a lot of revelations came through in the Fed minutes,"" said John Velis, vice president of Global Macro Strategy at State Street Global Markets in Boston. ""Seems everyone is packed up."" Trading volumes were thin ahead of the Thanksgiving holiday on Thursday and an early close on Friday. About 5.18 billion shares changed hands in U.S. exchanges, compared with the 6.66 billion daily average over the last 20 sessions. Last year, volume during the session before Thanksgiving was 6.51 billion. Shares of chipmaker Qualcomm rose 2.2 percent after Reuters reported Broadcom is considering raising its offer to buy its larger rival by offering more of its own stock. Tractor maker Deere & Co rose 4.3 percent to $145.25 and touched a record high of $146.00 after reporting upbeat quarterly earnings and issuing a strong profit forecast for the year. Advancing issues outnumbered declining ones on the NYSE by a 1.30-to-1 ratio; on Nasdaq, a 1.09-to-1 ratio favored advancers. The S&P 500 posted 25 new 52-week highs and no new lows; the Nasdaq Composite recorded 151 new highs and 20 new lows.","2017-11-23T07:45:03+05:30","2017-11-23T07:51:42+05:30",""
"CBI wants Airbus to be made party in IDBI-Kingfisher loan case","","","https://www.moneycontrol.com/news/business/companies/cbi-wants-airbus-to-be-made-partyidbi-kingfisher-loan-case-1029317.html","The CBI is trying to make aircraft manufacturer Airbus a party to the money laundering case against business tycoon Vijay Mallya over a Rs 900 crore loan from , sources said on Tuesday.CNN-IBN has learnt that a letter rogatory (LR) will be sent to France in 15-20 days to get details of Airbus's deals with Mallya's Kingfisher Airlines.The agency would probe whether the bank sent money directly to Airbus as part of KFA's deal with the aircraft maufacturer, and whether some of this was diverted to Mallya's intermediary's to be siphoned off to tax havens.KFA had reportedly placed orders and made pre-delivery payments for Airbus' wide-body commercial jets like A380 and A350, but they were withdrawn later.","2016-03-15T21:17:43+05:30","2016-03-15T21:17:43+05:30",""
"India likely to sign FATCA pact in early July: FinMin","","","https://www.moneycontrol.com/news/business/economy/india-likely-to-sign-fatca-pactearly-july-finmin-1457733.html","India is likely to sign the inter-governmental pact for the US tax compliance law FATCA early next month, a government official said. ""Indian government is likely to sign the Inter- Governmental Agreement (IGA) for Foreign Account Tax Compliance Act (FATCA) in early July 2015,"" Akhilesh Ranjan, a Joint Secretary in the Finance Ministry, was quoted as saying in a release issued by industry body Ficci. Ranjan is in the Foreign Tax and Tax Research Division of the Ministry. FATCA compliance will necessarily have to cover all new accounts opened by Indian Financial Institutions (FIs) from July 1, 2014 onwards. Further, they would be obliged to share data with the government in respect of all new accounts opened from July 1 till December 31, 2014, to enable the government to share this data with US by September 30, 2015. The Regulators might also publish detailed guidance for implementation of FATCA. Ranjan, who was speaking at the roundtable discussion organised by FICCI assured that the government is committed to the cause of confidentiality of data and is taking several measures in that direction. A security committee has been set up within CBDT headed by Chief Information Security Officer for security of documents and information, he said. Internal systems are being devised so that the distribution of information is channelized and there is no general distribution of information.","2015-06-26T22:19:43+05:30","2015-06-26T22:24:08+05:30",""
"Won't allow entry of FDI in Delhi's retail sector: AAP govt","","","https://www.moneycontrol.com/news/business/economy/wont-allow-entryfdidelhis-retail-sector-aap-govt-1471773.html","A day after the Centre released its consolidated FDI policy, the Delhi government today said it will not allow entry of foreign direct investment in the capital's retail sector, saying that it will be detrimental to the interests of traders in the city. In the latest edition of the annual FDI document, the central government has retained the previous UPA dispensation's decision allowing foreign retailers to open multi-brand stores with 51 percent ownership. Speaking to reporters at Delhi Secretariat here, Deputy Chief Minister Manish Sisodia said, ""We will not allow entry of FDI in retail sector in the national capital."" A senior official said that the stand of the Delhi government, which was communicated to the Department of Industrial Policy and Promotion (DIPP) of the Union Commerce and Industry Ministry, on January 14, 2014, remains unchanged. In an official statement, the Delhi government said that it is of the view that the national capital at this juncture is not ready to disturb the character of its retail trade. ""Entry of FDI in the retail sector will be detrimental to the interests of traders and will lead to unemployment,"" the government said in its official statement. The city government also said that Chief Minister 's January 2014 decision to withdraw the approval granted by the previous Sheila Dikshit-led state government remains unchanged. ""The Delhi government will reiterate its stand to the central government to remove all ambiguity on the issue, which may arise due to the fresh policy document of the Centre. ""The Delhi government does not have blind opposition to the FDI, but it is of the firm view that the national capital does not require its entry in the retail sector at this juncture,"" the statement said. Multi-brand retail was opened up for foreign direct investment, with a 51 percent cap, in September 2012, when the Congress-led UPA government was in power.","2015-05-13T21:14:33+05:30","2015-05-13T21:14:33+05:30",""
